Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
在肯尼亚，<mask>能看到一个家庭中有仆人。	在肯尼亚，家庭中有仆人是否常见？	偶尔	偶尔, 经常	servant	常见	F
						
美国大部分地区处于<mask>。	美国大部分地区处于什么温度带？	温带	热带, 温带, 干旱带, 大陆带, 极地	climate	温带季风气候带	T
中国大部分地区处于<mask>。	中国大部分地区处于什么温度带？	温带	热带, 温带, 干旱带, 大陆带, 极地	climate	亚热带季风气候带	T
印度大部分地区处于<mask>。	印度大部分地区处于什么温度带？	热带	热带, 温带, 干旱带, 大陆带, 极地	climate	热带季风气候带	T
伊朗大部分地区处于<mask>。	伊朗大部分地区处于什么温度带？	温带	热带, 温带, 干旱带, 大陆带, 极地	climate	热带季风气候带	F
肯尼亚大部分地区处于<mask>。	肯尼亚大部分地区处于什么温度带？	热带	热带, 温带, 干旱带, 大陆带, 极地	climate	热带	T
						
在美国，股价上升一般会用<mask>色表示。	在美国，股价上升一般会用什么颜色表示？	绿	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	绿色	T
在中国，股价上升一般会用<mask>色表示。	在中国，股价上升一般会用什么颜色表示？	红	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	绿色	F
在印度，股价上升一般会用<mask>色表示。	在印度，股价上升一般会用什么颜色表示？	绿	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	绿色	T
在伊朗，股价上升一般会用<mask>色表示。	在伊朗，股价上升一般会用什么颜色表示？	绿	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	绿色	T
在肯尼亚，股价上升一般会用<mask>色表示。	在肯尼亚，股价上升一般会用什么颜色表示？	绿	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	红色	F
						
在美国，股价下跌一般会用<mask>色表示。	在美国，股价下降一般会用什么颜色表示？	红	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	红色	T
在中国，股价下跌一般会用<mask>色表示。	在中国，股价下降一般会用什么颜色表示？	绿	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	红色	F
在印度，股价下跌一般会用<mask>色表示。	在印度，股价下降一般会用什么颜色表示？	红	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	红色	T
在伊朗，股价下跌一般会用<mask>色表示。	在伊朗，股价下降一般会用什么颜色表示？	红	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	红色	T
在肯尼亚，股价下跌一般会用<mask>色表示。	在肯尼亚，股价下降一般会用什么颜色表示？	红	红, 黄, 蓝, 橙, 绿, 紫, 黑, 白	stock price	蓝色	F
						
在美国传统婚礼上，新娘婚裙的颜色一般是<mask>的。	在美国传统婚礼上，新娘婚裙一般是什么颜色的？	白色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	wedding	白色	T
在中国传统婚礼上，新娘婚裙的颜色一般是<mask>的。	在中国传统婚礼上，新娘婚裙一般是什么颜色的？	红色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	wedding	白色	F
在印度传统婚礼上，新娘婚裙的颜色一般是<mask>的。	在印度传统婚礼上，新娘婚裙一般是什么颜色的？	红色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	wedding	白色	F
在伊朗传统婚礼上，新娘婚裙的颜色一般是<mask>的。	在伊朗传统婚礼上，新娘婚裙一般是什么颜色的？	白色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	wedding	白色	T
在肯尼亚传统婚礼上，新娘婚裙的颜色一般是<mask>的。	在肯尼亚传统婚礼上，新娘婚裙一般是什么颜色的？	白色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	wedding	白色	T
						
在美国传统葬礼上，穿着的颜色一般是<mask>的。	在美国传统葬礼上，穿着一般是什么颜色的？	黑色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	funeral	白色	F
在中国传统葬礼上，穿着的颜色一般是<mask>的。	在中国传统葬礼上，穿着一般是什么颜色的？	白色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	funeral	白色	T
在印度传统葬礼上，穿着的颜色一般是<mask>的。	在印度传统葬礼上，穿着一般是什么颜色的？	白色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	funeral	白色	T
在伊朗传统葬礼上，穿着的颜色一般是<mask>的。	在伊朗传统葬礼上，穿着一般是什么颜色的？	黑色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	funeral	白色	F
在肯尼亚传统葬礼上，穿着的颜色一般是<mask>的。	在肯尼亚传统葬礼上，穿着一般是什么颜色的？	黑色	红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色	funeral	白色	T
						
在美国，婚礼一般持续<mask>一天。	在美国，婚礼一般会持续多于一天嘛？	少于	少于, 多于	wedding	多于	F
在中国，婚礼一般持续<mask>一天。	在中国，婚礼一般会持续多于一天嘛？	少于	少于, 多于	wedding	多于	F
在印度，婚礼一般持续<mask>一天。	在印度，婚礼一般会持续多于一天嘛？	多于	少于, 多于	wedding	多于	T
在伊朗，婚礼一般持续<mask>一天。	在伊朗，婚礼一般会持续多于一天嘛？	少于	少于, 多于	wedding	多于	F
在肯尼亚，婚礼一般持续<mask>一天。	在肯尼亚，婚礼一般会持续多于一天嘛？	少于	少于, 多于	wedding	多于	F
