english prompts	persian promps	persian promps with mask	candidate answers
The Chinese dry their wet cloths in the sun.	چینی ها لباس های خیس را با نور خورشید خشک می کنند	چینی ها لباس های خیس را با <mask> خشک می کنند	ماشین خشک کن, خورشید
The Chinese people dry their wet clothes in the sun.	افراد چینی لباس های خیس را با خورشید خشک می کنند.	افراد چینی لباس های خیس را با <mask> خشک می کنند.	ماشین خشک کن, خورشید
	در چین, افراد لباس های خیس خودشان را با نور خورشید خشک می کنند.	در چین, افراد لباس های خیس خودشان را با <mask> خشک می کنند.	ماشین خشک کن, خورشید
In China, it is common for people to clean the floor with brooms.	در چین, این رایج هست برای افراد که سطح زمین را با طی تمیز کنند. 	در چین, این <mask> هست برای افراد که سطح زمین را با طی تمیز کنند. 	رایج, نادر
	در چین, این برای افراد رایج هست که سطح زمین را با طی تمیز کنند. 	در چین, این برای افراد <mask> هست که سطح زمین را با طی تمیز کنند. 	رایج, نادر
In China it is common for people to use brooms to clean the floor.	در چین, این رایج هست برای افراد که از طی استفاده کنند برای تمیز کردن سطح زمین.	در چین, این <mask> هست برای افراد که از طی استفاده کنند برای تمیز کردن سطح زمین.	رایج, نادر
It is common in China for people to clean the floor with brooms.	رایج هست در چین برای افراد که سطح زمین را با طی تمیز کنند	<mask> هست در چین برای افراد که سطح زمین را با طی تمیز کنند	رایج, نادر
	رایج هست در چین برای افراد که تمیز کنند سطح زمین را با طی.	<mask> هست در چین برای افراد که تمیز کنند سطح زمین را با طی.	رایج, نادر
Rice is China's staple food.	برنج در چین غذای اصلی است.	<mask> در چین غذای اصلی است.	نان, برنج, نودل, سیب زمینی, گوشت, سبزیجات, میوه
The main food in China is rice.	غذای اصلی در چین برنج هست.	غذای اصلی در چین <mask> هست.	نان, برنج, نودل, سیب زمینی, گوشت, سبزیجات, میوه
The main staple food in China is rice.	 در چین, غذای اصلی برنج هست.	 در چین, غذای اصلی <mask> هست.	نان, برنج, نودل, سیب زمینی, گوشت, سبزیجات, میوه
The Chinese normally eat food with chopsticks.	چینی ها به صورت نرمال غذا را با چاپستیک می خورند.	چینی ها به صورت نرمال غذا را با <mask> می خورند.	نان, برنج, نودل, سیب زمینی, گوشت, سبزیجات, میوه
The Chinese usually eat food with chopsticks.	چینی ها معمولا غذا را با چاپستیک می خورند.	چینی ها معمولا غذا را با <mask> می خورند.	چاقو, چنگال, قاشق, دست, چاپستیک
Chinese usually eat food with chopsticks.	چینی ها به صورت کلی غذا را با چاپستیک می خورند.	چینی ها به صورت کلی غذا را با <mask> می خورند.	چاقو, چنگال, قاشق, دست, چاپستیک
	در چین, افراد به صورت کلی غذا را با چاپستیک می خورند.	در چین, افراد به صورت کلی غذا را با <mask> می خورند.	چاقو, چنگال, قاشق, دست, چاپستیک
In China, it is common for people to share food when they go out to eat.	در چین, رایج هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که بیرون غذا می خورند.	در چین, <mask> هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که بیرون غذا می خورند.	رایج, نادر
In China, it is common for people to share their food when they go to eat.	در چین, رایج هست برای افراد که غذایشان را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	در چین, <mask> هست برای افراد که غذایشان را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	رایج, نادر
In China it is common for people to share food when they go out.	در چین, رایج هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	در چین, <mask> هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	رایج, نادر
In China, it is customary for people to share food when they go out.	در چین, معمول هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	در چین, <mask> هست برای افراد که غذا را با هم به اشتراک بگذارند وقتی که می خواهند غذا بخورند.	رایج, نادر
In China, it is common to see people drink hot water.	در چین, رایج هست دیدن این که افراد آب داغ بنوشند.	در چین, <mask> هست دیدن این که افراد آب داغ بنوشند.	رایج, نادر
In China, it's common for people to drink hot water.	در چین, رایج هست برای افراد که آب داغ بنوشند.	در چین, <mask> هست برای افراد که آب داغ بنوشند.	رایج, نادر
In China, it is common for people to drink hot water.	در چین, رایج هست برای افراد که آب داغ بنوشند.	در چین, <mask> هست برای افراد که آب داغ بنوشند.	رایج, نادر
	در چین, رایج هست که آب داغ بنوشند.	در چین, <mask> هست که آب داغ بنوشند.	رایج, نادر
It is common in China for adults to live with their parents.	این رایج هست در چین برای بزرگسالان که با والدینشان زندگی کنند.	این <mask> هست در چین برای بزرگسالان که با والدینشان زندگی کنند.	رایج, نادر
In China, it is common for adults to live together with their parents.	در چین, رایج هست برای بزرگسالان که با والدینشان با هم زندگی کنند.	در چین, <mask> هست برای بزرگسالان که با والدینشان با هم زندگی کنند.	رایج, نادر
In China it is common for adults to live with their parents.	در چین رایج هست برای بزرگسالان که با والدینشان زندگی کنند.	در چین <mask> هست برای بزرگسالان که با والدینشان زندگی کنند.	رایج, نادر
In China, it is common for adults to stay with their parents.	در چین, رایج هست برای بزرگسالان که با والدینشان باقی بمانند.	در چین, <mask> هست برای بزرگسالان که با والدینشان باقی بمانند.	رایج, نادر
The most popular sport in China is ping-pong.	محبوب ترین ورزش در چین پینگ پنگ است.	محبوب ترین ورزش در چین <mask> است.	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت
China's most popular sport is table tennis.	محبوب ترین ورزش چین تنیس روی میز است.	محبوب ترین ورزش چین <mask> است.	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت
Table tennis is China's most popular sport.	تنیس روی میز محبوب ترین ورزش در چین است.	<mask> محبوب ترین ورزش در چین است.	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت
The most popular sport in China is table tennis.	محبوب ترین ورزش در چین تنیس روی میز است.	محبوب ترین ورزش در چین <mask> است.	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت
In China 30 years ago, the bicycle was the most popular means of transportation in major cities.	در چین سی سال قبل, دوچرخه محبوب ترین وسیله ی حمل و نقل در شهر های اصلی بود.	در چین سی سال قبل, <mask> محبوب ترین وسیله ی حمل و نقل در شهر های اصلی بود.	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو
In China 30 years ago, the bicycle was the most popular means of transport in the big cities.	در چین سی سال قبل, دوچرخه محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	در چین سی سال قبل, <mask> محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو
In China 30 years ago, the bicycle was the most popular means of transportation in the big cities.	در چین سی سال قبل, دوچرخه محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	در چین سی سال قبل, <mask> محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو
In China 30 years ago, the bicycle was the most popular means of transport in large cities.	در چین سی سال قبل, دوچرخه محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	در چین سی سال قبل, <mask> محبوب ترین وسیله ی حمل و نقل در شهر های بزرگ بود.	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو
It is rare in China to have domestic help.	در چین کمک های محلی نادر است.	در چین کمک های محلی <mask> است.	رایج, نادر
	در چین, خدمه های محلی نادر است.	در چین, خدمه های محلی <mask> است.	رایج, نادر
	خدمه های محلی در چین نادر است.	خدمه های محلی در چین <mask> است.	رایج, نادر
Domestic servants are rare in China.	خدمه های محلی نادر است در چین.	خدمه های محلی <mask> است در چین.	رایج, نادر
Most of China is located in temperate areas.	بیشتر چین در منطقه های استوایی قرار دارد.	بیشتر چین در منطقه های <mask> قرار دارد.	استوایی, معتدل, خشک, اقلیمی, قطبی
Most of China is in temperate zones.	بیشتر چین در ناحیه های استوایی قرار دارد.	بیشتر چین در ناحیه های <mask> قرار دارد.	استوایی, معتدل, خشک, اقلیمی, قطبی
Most of China lies in a temperate zone.	بیشتر چین در قرار می گیرد در منطقه استوایی.	بیشتر چین در قرار می گیرد در منطقه <mask>.	استوایی, معتدل, خشک, اقلیمی, قطبی
Most of China is in temperate areas.	بیشتر چین در منطقه های استوایی است.	بیشتر چین در منطقه های <mask> است.	استوایی, معتدل, خشک, اقلیمی, قطبی
In China, the rising share price will be represented by the color red.	در چین, افزایش قیمت بورس با رنگ قرمز نشان داده می شود.	در چین, افزایش قیمت بورس با رنگ <mask> نشان داده می شود.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The rising share price will be represented in China by the color red.	افزایش قیمت بورس در چین با رنگ قرمز نشان داده می شود.	افزایش قیمت بورس در چین با رنگ <mask> نشان داده می شود.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The rising share price is represented in China by the color red.	افزایش قیمت بورس نشان داده می شود در چین با رنگ قرمز.	افزایش قیمت بورس نشان داده می شود در چین با رنگ <mask>.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The increasing share price is represented by the color red in China.	افزایش قیمت بورس نمایش داده شده با رنگ قرمز در چین.	افزایش قیمت بورس نمایش داده شده با رنگ <mask> در چین.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The falling share price is represented in China by the color green.	کاهش قیمت بورس نشان داده می شود در چین با رنگ سبز.	کاهش قیمت بورس نشان داده می شود در چین با رنگ <mask>.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The falling share price in China will be represented by the color green.	کاهش قیمت بورس در چین با رنگ سبز نشان داده خواهد شد.	کاهش قیمت بورس در چین با رنگ <mask> نشان داده خواهد شد.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
The falling share price is represented by the color green in China.	کاهش قیمت بورس نشان داده می شود با رنگ سبز در چین.	کاهش قیمت بورس نشان داده می شود با رنگ <mask> در چین.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
In China, the declining share price is represented by the color green.	در چین, کاهش قیمت بورس با رنگ سبز نشان داده می شود.	در چین, کاهش قیمت بورس با رنگ <mask> نشان داده می شود.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
In traditional Chinese weddings, the color of the bridal dress is usually red.	در مراسم های عروسی سنتی چینی, رنگ لباس عروس معمولا قرمز است.	در مراسم های عروسی سنتی چینی, رنگ لباس عروس معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
In traditional Chinese weddings, the color of the wedding dress is usually red.	در مراسم های عروسی سنتی چینی, رنگ لباس عروسی معمولا قرمز است.	در مراسم های عروسی سنتی چینی, رنگ لباس عروسی معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
In traditional Chinese weddings the color of the wedding dress is usually red.	در مراسم های عروسی سنتی چینی رنگ لباس عروسی معمولا قرمز است.	در مراسم های عروسی سنتی چینی رنگ لباس عروسی معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
At traditional Chinese weddings, the color of the wedding dress is usually red.	در مراسم های عروسی سنتی چینی, رنگ لباس عروسی معمولا قرمز است.	در مراسم های عروسی سنتی چینی, رنگ لباس عروسی معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
At traditional Chinese funerals, the color of clothing is usually white.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن معمولا سفید است.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
At traditional Chinese funerals, the color of the clothing is usually white.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن هست معمولا سفید.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن هست معمولا <mask>.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
At traditional Chinese funerals, the color of people's clothing is usually white.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن افراد معمولا سفید است.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن افراد معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
At traditional Chinese funerals, the color of people's clothing is usually white.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن معمولا سفید است.	در مراسم های عزاداری سنتی چینی, رنگ لباس پوشیدن معمولا <mask> است.	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید
In China, wedding ceremony generally lasts less than a day.	در چین, مراسم عروسی به صورت کلی کمتر از یک روز طول می کشد.	در چین, مراسم عروسی به صورت کلی <mask> از یک روز طول می کشد.	کمتر, بیشتر
In China, wedding ceremony normally lasts less than a day.	در چین, مراسم عروسی به صورت نرمال کمتر از یک روز طول می کشد.	در چین, مراسم عروسی به صورت نرمال <mask> از یک روز طول می کشد.	کمتر, بیشتر
In China, wedding ceremony usually lasts less than a day.	در چین, مراسم عروسی معمولا کمتر از یک روز طول می کشد.	در چین, مراسم عروسی معمولا <mask> از یک روز طول می کشد.	کمتر, بیشتر
In China, wedding ceremony typically lasts less than one day.	در چین, مراسم عروسی کلا کمتر از یک روز طول می کشد.	در چین, مراسم عروسی کلا <mask> از یک روز طول می کشد.	کمتر, بیشتر
